step,mode,resnet_layer,mobilenet_layer,squeeze_layer,chiplet_resnet,chiplet_mobilenet,chiplet_squeeze,start,makespan,end,bw_util,L_resnet,bw_resnet,L_mobilenet,bw_mobilenet,L_squeeze,bw_squeeze
1,triple,CONV1,CONV1,Conv2d-1,2,0,1,0.0,1268736.0,1268736.0,0.3141347592162592,1268736.0,30.7806,200705.0,2.00033,200705.0,2.00033
2,triple,CONV2_1_1,Bottleneck1_1_1,Conv2d-2,0,1,2,1268736.0,200705.0,1469441.0,0.4802367979671658,100353.0,32.0312,200705.0,16.004,200705.0,16.004
3,triple,CONV2_1_2,Bottleneck1_1_2,Conv2d-3,0,1,2,1469441.0,159588.003706,1629029.003706,0.7321579153358821,139971.0,66.572,12101.0,97.7693,12101.0,97.7693
4,triple,CONV2_1_3,Bottleneck1_1_3,Conv2d-4,3,0,1,1629029.003706,288959.203386,1917988.2070920002,0.9999999999999999,229377.0,111.972,100353.0,16.0041,100353.0,16.0041
5,triple,CONV2_1_Residual,Bottleneck1_1_Residual,Conv2d-5,3,0,1,1917988.2070920002,15699.618084000002,1933687.8251760001,0.7671573789603531,7169.0,112.001,12545.0,16.0013,12545.0,16.0013
6,triple,CONV2_2_1,Bottleneck2_1_1,Conv2d-6,0,1,2,1933687.8251760001,602113.0,2535800.825176,0.37362831069981883,401409.0,32.0384,602113.0,8.00194,602113.0,8.00194
7,triple,CONV2_2_2,Bottleneck2_1_2,Conv2d-7,0,1,2,2535800.825176,174164.47632000002,2709965.301496,0.7371585682266759,139971.0,66.572,3027.0,581.522,3027.0,581.522
8,triple,CONV2_2_3,Bottleneck2_1_3,Conv2d-8,0,1,2,2709965.301496,401409.0,3111374.301496,0.8008468990431206,401409.0,32.0308,301057.0,32.0359,301057.0,32.0359
9,triple,CONV2_2_Residual,Bottleneck2_2_1,Conv2d-9,3,0,1,3111374.301496,306510.659032,3417884.9605280003,0.6555138775615094,7169.0,112.001,301057.0,32.0359,301057.0,32.0359
10,triple,CONV2_3_1,Bottleneck2_2_2,Conv2d-10,3,0,1,3417884.9605280003,274395.59608,3692280.5566080003,1.0,229377.0,112.02,2918.0,298.963,2918.0,298.963
11,triple,CONV2_3_2,Bottleneck2_2_3,Conv2d-11,0,1,2,3692280.5566080003,163036.10978,3855316.6663880004,0.8673304845829106,139971.0,66.572,75265.0,32.0366,75265.0,32.0366
12,triple,CONV2_3_3,Bottleneck3_1_1,Conv2d-12,3,0,1,3855316.6663880004,311080.71841599996,4166397.384804,1.0,229377.0,111.972,225793.0,12.0116,225793.0,12.0116
13,triple,CONV2_3_Residual,Bottleneck3_1_2,Conv2d-13,3,0,1,4166397.384804,21397.10617,4187794.490974,1.0,7169.0,112.001,758.0,881.778,758.0,881.778
14,triple,CONV3_1_1,Bottleneck3_1_3,Conv2d-14,0,1,2,4187794.490974,200705.0,4388499.490974,0.8640657505792082,200705.0,32.1534,169345.0,32.15,169345.0,32.15
15,triple,CONV3_1_2,Bottleneck3_2_1,Conv2d-15,0,1,2,4388499.490974,213762.92572,4602262.416693999,0.9339485556139214,129795.0,69.9216,169345.0,32.15,169345.0,32.15
16,triple,CONV3_1_3,Bottleneck3_2_2,Conv2d-16,0,1,2,4602262.416693999,407508.73056,5009771.1472539995,0.332759346097088,401409.0,32.143,704.0,467.148,704.0,467.148
17,triple,CONV3_1_Residual,Bottleneck3_2_3,Conv2d-17,3,0,1,5009771.1472539995,170800.35001400003,5180571.497268,0.6610262684165789,7169.0,56.0006,169345.0,32.15,169345.0,32.15
18,triple,CONV3_2_1,Bottleneck3_2_Residual,Conv2d-18,0,1,2,5180571.497268,202436.09299000003,5383007.5902579995,0.3299667034835515,200705.0,32.1534,785.0,144.184,785.0,144.184
19,triple,CONV3_2_2,Bottleneck3_3_1,Conv2d-19,0,1,2,5383007.5902579995,213762.92572,5596770.515977999,0.9339485556139214,129795.0,69.9216,169345.0,32.15,169345.0,32.15
20,triple,CONV3_2_3,Bottleneck3_3_2,Conv2d-20,0,1,2,5596770.515977999,407508.73056,6004279.246537999,0.332759346097088,401409.0,32.143,704.0,467.148,704.0,467.148
21,triple,CONV3_1_Residual,Bottleneck3_3_3,Conv2d-21,3,0,1,6004279.246537999,39088.55074599999,6043367.797284,0.7217907852694478,7169.0,56.0006,37633.0,32.1514,37633.0,32.1514
22,triple,CONV3_3_1,Bottleneck4_1_1,Conv2d-22,0,1,2,6043367.797284,200705.0,6244072.797284,0.44199700032385836,200705.0,32.1534,75265.0,16.0616,75265.0,16.0616
23,triple,CONV3_3_2,Bottleneck4_1_2,Conv2d-23,0,1,2,6244072.797284,137920.967256,6381993.76454,0.7176811277452371,129795.0,69.9216,341.0,1206.53,341.0,1206.53
24,triple,CONV3_3_3,Bottleneck4_1_3,Conv2d-24,0,1,2,6381993.76454,401409.0,6783402.76454,0.41311833335575443,401409.0,32.143,56449.0,32.5998,56449.0,32.5998
25,triple,CONV3_3_Residual,Bottleneck4_2_1,Conv2d-25,3,0,1,6783402.76454,57968.842338,6841371.606878,0.704157674565842,7169.0,56.0006,56449.0,32.5998,56449.0,32.5998
26,triple,CONV3_4_1,Bottleneck4_2_2,Conv2d-26,0,1,2,6841371.606878,202772.24390600002,7044143.850784,0.32898290310839784,200705.0,32.1534,159.0,684.0,159.0,684.0
27,pair,CONV3_4_2,Bottleneck4_2_3,,0,1,-1,7044143.850784,131218.305086,7175362.15587,0.8318732798023789,129795.0,69.9216,56449.0,32.5998,,
28,pair,CONV3_4_3,Bottleneck4_2_Residual,,0,1,-1,7175362.15587,401655.49231,7577017.64818,0.3221792504959061,401409.0,32.143,197.0,192.98,,
29,pair,CONV3_4_Residual,Bottleneck4_3_1,,3,2,-1,7577017.64818,56448.99999999999,7633466.64818,0.39711853382699425,7169.0,56.0006,56449.0,32.5998,,
30,pair,CONV4_1_1,Bottleneck4_3_2,,0,1,-1,7633466.64818,201685.44647,7835152.094649999,0.33013598063410143,200705.0,32.633,159.0,684.0,,
31,pair,CONV4_1_2,Bottleneck4_3_3,,0,1,-1,7835152.094649999,117522.25193299999,7952674.346582999,0.906342391802745,110595.0,79.6719,56449.0,32.5998,,
32,pair,CONV4_1_3,Bottleneck4_3_Residual,,0,1,-1,7952674.346582999,401656.417028,8354330.763610999,0.32686961728996267,401409.0,32.6124,197.0,192.98,,
33,pair,CONV4_1_Residual,Bottleneck4_4_1,,2,3,-1,8354330.763610999,56448.99999999999,8410779.763610998,0.3666421212421832,4097.0,56.0,56449.0,32.5998,,
34,pair,CONV4_2_1,Bottleneck4_4_2,,0,1,-1,8410779.763610998,402389.46237,8813169.225980999,0.3283373751684262,401409.0,32.643,159.0,684.0,,
35,pair,CONV4_2_2,Bottleneck4_4_3,,0,1,-1,8813169.225980999,112904.579763,8926073.805744,0.8347567152974427,110595.0,79.6719,18817.0,32.602,,
36,pair,CONV4_2_3,Bottleneck5_1_1,,0,1,-1,8926073.805744,401409.0,9327482.805744,0.3565855148016114,401409.0,32.6124,37633.0,32.4915,,
37,pair,CONV4_2_Residual,Bottleneck5_1_2,,0,1,-1,9327482.805744,4263.3721000000005,9331746.177844,0.9999999999999999,785.0,257.306,328.0,684.0,,
38,pair,CONV4_3_1,Bottleneck5_1_3,,0,1,-1,9331746.177844,401409.0,9733155.177844,0.509952168095384,401409.0,32.643,225793.0,32.6261,,
39,pair,CONV4_3_2,Bottleneck5_2_1,,0,1,-1,9733155.177844,239393.9731,9972549.150943998,0.6757922335430757,110595.0,79.6719,225793.0,32.6261,,
40,pair,CONV4_3_3,Bottleneck5_2_2,,0,1,-1,9972549.150943998,403431.488672,10375980.639615998,0.3300501632986227,401409.0,32.6124,328.0,684.0,,
41,pair,CONV4_3_Residual,Bottleneck5_2_3,,2,3,-1,10375980.639615998,56448.99999999999,10432429.639615998,0.36691412124218326,4097.0,56.0,56449.0,32.627,,
42,pair,CONV4_4_1,Bottleneck6_1_1,,0,1,-1,10432429.639615998,401409.0,10833838.639615998,0.41803933322371956,401409.0,32.643,112897.0,32.572,,
43,pair,CONV4_4_2,Bottleneck6_1_2,,0,1,-1,10833838.639615998,113120.83036199998,10946959.469977997,0.8016137922150659,110595.0,79.6719,198.0,1296.0,,
44,pair,CONV4_4_3,Bottleneck5_2_3,,0,1,-1,10946959.469977997,401409.0,11348368.469977997,0.372006417260201,401409.0,32.6124,56449.0,32.627,,
45,pair,CONV4_4_Residual,Bottleneck6_2_1,,2,3,-1,11348368.469977997,127008.99999999999,11475377.469977997,0.3634662316686219,4097.0,56.0,127009.0,34.5402,,
46,pair,CONV4_5_1,Bottleneck6_2_2,,0,1,-1,11475377.469977997,402225.24463,11877602.714607997,0.3279660260791125,401409.0,32.643,101.0,875.52,,
47,pair,CONV4_5_2,Bottleneck6_2_3,,0,1,-1,11877602.714607997,142726.87199499996,12020329.586602997,0.9247193508705466,110595.0,79.6719,127009.0,34.5402,,
