layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,best_makespan_cycles,lookup_partner_dataflow,lookup_system_bw,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic,ShiDianNao_OS_makespan_cycles,NVDLA_WS_makespan_cycles,Eyeriss_RS_makespan_cycles
CONV1,ShiDianNao_OS,1268736.0,30.7806,39052455.3216,4792525.0,Eyeriss_RS,50.0,1268736.0,30.7806,39052455.3216,1330673.0,6.14303,8174364.159190001,4792525.0,3.32483,15934330.89575,4792525.0,4792525.0,4792525.0
CONV2_1_1,NVDLA_WS,100353.0,32.0312,3214427.0135999997,208166.41698,Eyeriss_RS,50.0,286720.0,112.035,32122675.2,100353.0,32.0312,3214427.0135999997,57345.0,111.973,6421091.685,770875.3376999999,208166.41698,256843.66739999998
CONV2_1_2,NVDLA_WS,139971.0,66.572,9318149.412,545192.8162,Eyeriss_RS,50.0,1089536.0,62.7408,68358360.2688,139971.0,66.572,9318149.412,27649.0,648.902,17941491.398000002,1725997.0333360003,545192.8162,717659.65592
CONV2_1_3,NVDLA_WS,401409.0,32.0308,12857451.3972,832650.6051119998,Eyeriss_RS,50.0,1146880.0,112.035,128490700.8,401409.0,32.0308,12857451.3972,229377.0,111.972,25683801.444,3083490.04488,832650.6051119998,1027352.0577599999
CONV2_1_Residual,Eyeriss_RS,7169.0,112.001,802935.169,32117.406759999998,Eyeriss_RS,50.0,17920.0,112.035,2007667.2,3137.0,256.082,803329.2339999999,7169.0,112.001,802935.169,56212.04738,32125.288059999995,32117.406759999998
CONV2_2_1,NVDLA_WS,401409.0,32.0384,12860502.105600001,832905.672336,Eyeriss_RS,50.0,1146880.0,112.036,128491847.68,401409.0,32.0384,12860502.105600001,229377.0,112.02,25694811.54,3083733.1844,832905.672336,1027792.4615999999
CONV2_2_2,NVDLA_WS,139971.0,66.572,9318149.412,545192.8162,Eyeriss_RS,50.0,1089536.0,62.7408,68358360.2688,139971.0,66.572,9318149.412,27649.0,648.902,17941491.398000002,1725997.0333360003,545192.8162,717659.65592
CONV2_2_3,NVDLA_WS,401409.0,32.0308,12857451.3972,832650.6051119998,Eyeriss_RS,50.0,1146880.0,112.035,128490700.8,401409.0,32.0308,12857451.3972,229377.0,111.972,25683801.444,3083490.04488,832650.6051119998,1027352.0577599999
CONV2_2_Residual,Eyeriss_RS,7169.0,112.001,802935.169,32117.406759999998,Eyeriss_RS,50.0,17920.0,112.035,2007667.2,3137.0,256.082,803329.2339999999,7169.0,112.001,802935.169,56212.04738,32125.288059999995,32117.406759999998
CONV2_3_1,NVDLA_WS,401409.0,32.0384,12860502.105600001,832905.672336,Eyeriss_RS,50.0,1146880.0,112.036,128491847.68,401409.0,32.0384,12860502.105600001,229377.0,112.02,25694811.54,3083733.1844,832905.672336,1027792.4615999999
CONV2_3_2,NVDLA_WS,139971.0,66.572,9318149.412,545192.8162,Eyeriss_RS,50.0,1089536.0,62.7408,68358360.2688,139971.0,66.572,9318149.412,27649.0,648.902,17941491.398000002,1725997.0333360003,545192.8162,717659.65592
CONV2_3_3,NVDLA_WS,401409.0,32.0308,12857451.3972,832650.6051119998,Eyeriss_RS,50.0,1146880.0,112.035,128490700.8,401409.0,32.0308,12857451.3972,229377.0,111.972,25683801.444,3083490.04488,832650.6051119998,1027352.0577599999
CONV2_3_Residual,Eyeriss_RS,7169.0,112.001,802935.169,32117.406759999998,Eyeriss_RS,50.0,17920.0,112.035,2007667.2,3137.0,256.082,803329.2339999999,7169.0,112.001,802935.169,56212.04738,32125.288059999995,32117.406759999998
CONV3_1_1,NVDLA_WS,200705.0,32.1534,6453348.147,386866.525764,Eyeriss_RS,50.0,458753.0,56.3557,25853346.4421,200705.0,32.1534,6453348.147,229377.0,56.1956,12889978.1412,774866.491666,386866.525764,515599.12564800004
CONV3_1_2,NVDLA_WS,129795.0,69.9216,9075474.072,516821.7220800001,Eyeriss_RS,50.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1392314.20416,516821.7220800001,670624.4812800001
CONV3_1_3,NVDLA_WS,401409.0,32.143,12902489.487,772202.719526,Eyeriss_RS,50.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,2862963.1697859997,772202.719526,1028305.8595720001
CONV3_1_Residual,Eyeriss_RS,7169.0,56.0006,401468.3014,16058.732056,Eyeriss_RS,50.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,26379.446028000002,16072.907288,16058.732056
CONV3_2_1,NVDLA_WS,200705.0,32.1534,6453348.147,386221.51764,Eyeriss_RS,50.0,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735,1431559.6747,386221.51764,514309.10939999996
CONV3_2_2,NVDLA_WS,129795.0,69.9216,9075474.072,516821.7220800001,Eyeriss_RS,50.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1392314.20416,516821.7220800001,670624.4812800001
CONV3_2_3,NVDLA_WS,401409.0,32.143,12902489.487,772202.719526,Eyeriss_RS,50.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,2862963.1697859997,772202.719526,1028305.8595720001
CONV3_1_Residual,Eyeriss_RS,7169.0,56.0006,401468.3014,16058.732056,Eyeriss_RS,50.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,26379.446028000002,16072.907288,16058.732056
CONV3_3_1,NVDLA_WS,200705.0,32.1534,6453348.147,386221.51764,Eyeriss_RS,50.0,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735,1431559.6747,386221.51764,514309.10939999996
CONV3_3_2,NVDLA_WS,129795.0,69.9216,9075474.072,516821.7220800001,Eyeriss_RS,50.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1392314.20416,516821.7220800001,670624.4812800001
CONV3_3_3,NVDLA_WS,401409.0,32.143,12902489.487,772202.719526,Eyeriss_RS,50.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,2862963.1697859997,772202.719526,1028305.8595720001
