row_kind,step,epoch,t_epoch,window_cycles,window_stride,mode,phase,network,layer,chiplet,start,end,L_phase,bw_phase,slice_makespan,bw_util
phase,1,0,0.000000,5000000.000000,5000000.000000,pair,mem,mobilenet_v2,CONV1,0,0.000000,60211.500000,60211.500000,2.000330,200705.000000,0.012002
phase,1,0,0.000000,5000000.000000,5000000.000000,pair,comp,mobilenet_v2,CONV1,0,60211.500000,200705.000000,140493.500000,0.000000,200705.000000,0.012002
phase,1,0,0.000000,5000000.000000,5000000.000000,pair,mem,squeezenet1_0,Conv2d-1,1,0.000000,60211.500000,60211.500000,2.000330,200705.000000,0.012002
phase,1,0,0.000000,5000000.000000,5000000.000000,pair,comp,squeezenet1_0,Conv2d-1,1,60211.500000,200705.000000,140493.500000,0.000000,200705.000000,0.012002
step,1,0,0.000000,5000000.000000,5000000.000000,pair,,,,,0.000000,200705.000000,,,200705.000000,0.012002
phase,2,0,0.000000,5000000.000000,5000000.000000,single,mem,resnet50,CONV1,2,0.000000,380620.800000,380620.800000,30.780600,1268736.000000,0.092342
phase,2,0,0.000000,5000000.000000,5000000.000000,single,comp,resnet50,CONV1,2,380620.800000,1268736.000000,888115.200000,0.000000,1268736.000000,0.092342
step,2,0,0.000000,5000000.000000,5000000.000000,single,,,,,0.000000,1268736.000000,,,1268736.000000,0.092342
phase,3,0,0.000000,5000000.000000,5000000.000000,pair,mem,mobilenet_v2,Bottleneck1_1_1,0,200705.000000,260916.500000,60211.500000,16.004000,200705.000000,0.096024
phase,3,0,0.000000,5000000.000000,5000000.000000,pair,comp,mobilenet_v2,Bottleneck1_1_1,0,260916.500000,401410.000000,140493.500000,0.000000,200705.000000,0.096024
phase,3,0,0.000000,5000000.000000,5000000.000000,pair,mem,squeezenet1_0,Conv2d-2,1,200705.000000,260916.500000,60211.500000,16.004000,200705.000000,0.096024
