Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,256,1268736,175518,152.962,871487,4.19056e+08,3651.13,59,30.7806,59,1,59,6804,294,1,1,150528,9408,1.10569e+12,194068224,312.909,259.661,23.4738,3055.08,194068224, 33062240, 33062240, 150528, 5.86978, 194068224, 9408, 9408, 9408, 20628, 194068224, 194068224, 3041536, 7774464, 1, 1, 3, 1, 1, 1, 1, 50, 50, 50, 109, 1.75
Resnet50,CONV2_1_1,256,286720,423517,44.8,105781,4.19047e+08,3376.83,128,112.035,128,1,128,1026,6,1,1,200704,4096,3.03295e+10,12845056,312.909,5.2992,3.5397,3055.08,12845056, 12828928, 12828928, 200704, 1.00126, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_1_2,256,1089536,230883,98.6617,427323,4.19049e+08,3424.14,96,62.7408,96,1,96,2450,54,1,1,200704,36864,4.65584e+11,107495424,312.909,47.6928,8.4525,3055.08,107495424, 35925696, 35925696, 200704, 2.99216, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 216, 2.25
Resnet50,CONV2_1_3,256,1146880,620606,44.8,72187.5,4.19047e+08,3376.83,128,112.035,128,1,128,1026,6,1,1,200704,16384,8.27904e+10,51380224,312.909,5.2992,3.5397,3055.08,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_1_Residual,256,17920,109559,44.8,408913,4.19047e+08,3376.83,128,112.035,128,1,128,1026,6,1,1,802816,256,7.32772e+09,802816,312.909,5.2992,3.5397,3055.08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_2_1,256,1146880,444904,44.8,100696,4.19047e+08,3376.83,128,112.036,128,1,128,1026,6,1,1,802816,16384,1.15486e+11,51380224,312.909,5.2992,3.5397,3055.08,51380224, 51364096, 51364096, 802816, 1.00031, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_2_2,256,1089536,305338,98.6617,323123,4.19049e+08,3424.14,96,62.7408,96,1,96,2450,54,1,1,200704,36864,3.52054e+11,107495424,312.909,47.6928,8.4525,3055.08,107495424, 35925696, 35925696, 200704, 2.99216, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 216, 2.25
Resnet50,CONV2_2_3,256,1146880,620606,44.8,72187.5,4.19047e+08,3376.83,128,112.035,128,1,128,1026,6,1,1,200704,16384,8.27904e+10,51380224,312.909,5.2992,3.5397,3055.08,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_2_Residual,256,17920,109559,44.8,408913,4.19047e+08,3376.83,128,112.035,128,1,128,1026,6,1,1,802816,256,7.32772e+09,802816,312.909,5.2992,3.5397,3055.08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_3_1,256,1146880,444904,44.8,100696,4.19047e+08,3376.83,128,112.036,128,1,128,1026,6,1,1,802816,16384,1.15486e+11,51380224,312.909,5.2992,3.5397,3055.08,51380224, 51364096, 51364096, 802816, 1.00031, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
